hr,name,ra_degrees,dec_degrees,Vmag
261,BD+67   81,14.231666666666666,68.7761111111111,6.37
262,PscBD+26  151,13.993749999999997,27.209444444444443,6.09
263,BD-08  167,13.926666666666664,-7.347222222222222,5.85
264,CasBD+59  144,14.17708333333333,60.71666666666667,2.47
265,2CasBD+58  138,14.165833333333332,59.18111111111111,4.63
266,BD+59  146,14.19625,60.36277777777778,5.55
267,3CetBD-12  162,14.006249999999998,-11.266666666666667,5.31
268,CD-28  288,13.981249999999998,-27.775555555555556,6.10
269,AndBD+37  175,14.18833333333333,38.49944444444444,3.87
270,2TucCP-70   40,13.751249999999997,-69.52694444444444,5.45
271,AndBD+22  153,14.301666666666664,23.4175,4.42
272,BD+45  237,14.415416666666664,45.83972222222222,6.12
273,BD+65  115,14.629583333333331,66.35222222222221,5.97
274,PscBD+28  157,14.459166666666665,28.992222222222225,5.42
275,BD+33  140,14.559166666666664,33.950833333333335,5.98
276,BD+12  119,14.477083333333331,13.695833333333333,6.32
277,BD+20  131,14.578749999999998,21.404444444444444,6.37
278,BD+70   65,15.129166666666665,70.98305555555555,6.39
279,4CetBD-12  173,14.682916666666664,-11.38,5.61
280,SclCD-30  297,14.651666666666664,-29.3575,4.31
281,CP-61   50,14.593333333333332,-60.69638888888888,6.23
282,BD+43  193,15.014166666666664,44.711111111111116,6.84
283,BD+43  193,15.014999999999997,44.71333333333334,6.04
284,BD+05  131,14.95708333333333,6.483055555555556,6.11
285,BD+85   19,17.186249999999998,86.25694444444444,4.25
286,BD+88    4,23.459999999999997,89.01555555555555,6.46
287,BD+50  202,15.576666666666666,51.035,6.47
288,SclCD-39  260,15.326249999999996,-38.916666666666664,5.59
289,BD+46  243,15.75625,47.376111111111115,6.45
290,AndBD+40  209,15.72625,41.345,5.98
291,PscBD+31  168,15.704583333333334,31.804444444444446,5.50
292,BD+60  157,15.904166666666667,61.075,5.92
293,SclCD-32  410,15.610000000000001,-31.551944444444445,5.50
294,PscBD+07  153,15.735833333333332,7.89,4.28
295,PheCP-57  220,15.507499999999999,-57.0025,6.11
296,CetBD-05  177,15.760833333333332,-4.836666666666666,5.43
297,BD+60  158,16.081666666666663,61.58027777777778,5.84
298,BD+51  220,16.009999999999998,52.50222222222222,5.99
299,CD-47  313,15.705,-46.3975,5.36
300,CD-30  325,15.823333333333332,-29.52583333333333,6.29
301,CetBD+00  174,15.954166666666664,1.3666666666666667,6.04
302,BD+50  212,16.194999999999997,51.01,6.54
303,BD+28  174,16.115,29.65861111111111,6.19
304,CP-66   80,15.678749999999999,-65.45611111111111,6.21
305,BD+39  249,16.151666666666667,39.99111111111111,6.72
306,BD+86   17,19.056249999999995,87.14527777777778,6.25
307,PscBD+04  172,16.219166666666666,5.656388888888889,6.00
308,PscBD+14  163,16.272499999999997,14.946111111111112,5.68
309,BD+61  206,16.595,62.76166666666666,6.54
310,1PscBD+20  156,16.420416666666664,21.473333333333333,5.34
311,1PscBD+20  157,16.423749999999995,21.46527777777778,5.56
312,BD+79   29,17.301249999999996,80.01166666666667,6.29
313,PscBD+04  175,16.455,4.908333333333334,6.35
314,PscBD+04  176,16.464166666666664,4.9094444444444445,7.25
315,CetBD-10  229,16.40333333333333,-9.979166666666666,6.12
316,BD+56  196,16.75083333333333,56.934999999999995,6.43
317,CetBD-10  230,16.52125,-9.839444444444444,5.58
318,BD+52  262,16.789583333333333,53.498333333333335,6.38
319,PscBD+12  135,16.64,12.95611111111111,6.12
320,CD-24  484,16.532083333333333,-23.9925,6.14
321,CasBD+54  223,17.06833333333333,54.92027777777778,5.17
322,PheCD-47  324,16.520833333333332,-46.718611111111116,3.31
323,CD-36  417,16.610416666666666,-35.66083333333333,6.61
324,AndBD+43  234,17.00375,43.94194444444444,5.03
325,CD-24  496,16.804583333333333,-23.99638888888889,6.37
326,BD+57  200,17.138749999999998,58.26361111111111,5.79
327,PscBD+31  185,17.00541666666666,32.01222222222222,6.25
328,2PscBD+19  185,16.98833333333333,20.739166666666666,5.55
329,CetBD-10  238,16.942499999999995,-9.785555555555556,5.82
330,PscBD+04  190,17.092499999999998,5.649722222222222,5.52
331,PheCD-42  391,16.94958333333333,-41.48694444444445,5.21
332,TucCP-62   89,16.827916666666667,-61.775277777777774,5.37
333,BD+78   34,18.06958333333333,79.6738888888889,5.64
334,CetBD-10  240,17.147499999999997,-10.182222222222222,3.45
335,AndBD+46  275,17.37583333333333,47.24194444444444,4.25
336,CasBD+68   77,17.66375,68.7786111111111,5.29
